dhb,age,sex,Maori,Pacific,Asian,MELAA,Other,European,Total Stated,Not Elsewhere Included,Total
Northland,0,M,492,24,30,3,6,369,924,117,"1,038"
Northland,0,F,504,24,33,6,9,333,909,99,"1,005"
Northland,0,Total,993,45,63,9,15,699,"1,827",216,"2,046"
Northland,1,M,525,21,30,3,15,369,963,99,"1,062"
Northland,1,F,504,21,18,3,12,372,933,102,"1,032"
Northland,1,Total,"1,029",45,51,9,24,741,"1,896",195,"2,094"
Northland,2,M,519,33,33,3,12,423,"1,020",96,"1,116"
Northland,2,F,501,27,24,3,12,363,927,111,"1,041"
Northland,2,Total,"1,017",63,54,6,21,786,"1,947",210,"2,157"
Northland,3,M,516,24,21,3,12,396,969,96,"1,065"
Northland,3,F,555,21,30,3,6,393,"1,008",90,"1,098"
Northland,3,Total,"1,071",45,51,6,15,789,"1,977",189,"2,163"
Northland,4,M,555,27,21,3,9,465,"1,086",87,"1,173"
Northland,4,F,474,27,18,3,18,384,930,96,"1,026"
Northland,4,Total,"1,032",57,36,12,27,849,"2,013",186,"2,199"
Northland,5,M,588,12,27,6,12,426,"1,074",105,"1,173"
Northland,5,F,483,30,33,6,12,402,969,105,"1,074"
Northland,5,Total,"1,071",42,63,12,27,828,"2,040",210,"2,250"
Northland,6,M,534,27,21,6,24,492,"1,101",84,"1,185"
Northland,6,F,546,18,18,3,9,471,"1,068",93,"1,161"
Northland,6,Total,"1,080",45,36,9,30,966,"2,169",177,"2,343"
Northland,7,M,513,27,30,3,12,414,999,84,"1,083"
Northland,7,F,507,18,18,3,15,396,957,102,"1,056"
Northland,7,Total,"1,020",42,48,9,27,813,"1,953",183,"2,139"
Northland,8,M,444,18,36,3,12,441,951,84,"1,038"
Northland,8,F,477,30,18,3,15,453,993,81,"1,077"
Northland,8,Total,921,48,54,3,24,891,"1,944",168,"2,115"
Northland,9,M,465,18,33,3,12,471,999,87,"1,086"
Northland,9,F,465,24,27,9,12,477,"1,011",78,"1,086"
Northland,9,Total,927,42,60,9,24,945,"2,010",162,"2,172"
Northland,10,M,501,24,30,6,18,465,"1,044",96,"1,143"
Northland,10,F,483,15,24,3,9,429,963,69,"1,035"
Northland,10,Total,984,39,51,9,27,894,"2,013",165,"2,175"
Northland,11,M,495,21,21,3,12,444,993,66,"1,059"
Northland,11,F,456,21,24,3,9,429,942,81,"1,023"
Northland,11,Total,948,42,45,3,21,873,"1,935",147,"2,082"
Northland,12,M,549,33,18,3,12,465,"1,077",78,"1,155"
Northland,12,F,456,30,30,3,15,477,"1,008",93,"1,101"
Northland,12,Total,"1,002",63,48,3,24,942,"2,088",171,"2,256"
Northland,13,M,540,30,24,6,12,456,"1,074",87,"1,164"
Northland,13,F,489,24,30,3,12,477,"1,032",96,"1,131"
Northland,13,Total,"1,029",57,54,9,24,939,"2,109",183,"2,295"
Northland,14,M,516,24,33,6,18,474,"1,074",81,"1,155"
Northland,14,F,489,21,24,6,6,483,"1,032",75,"1,110"
Northland,14,Total,"1,005",45,57,15,24,957,"2,106",159,"2,265"
Northland,15,M,483,18,24,6,9,492,"1,032",87,"1,119"
Northland,15,F,489,18,15,6,3,465,999,93,"1,092"
Northland,15,Total,972,39,42,12,12,957,"2,031",183,"2,214"
Northland,16,M,468,18,30,3,9,486,"1,017",96,"1,110"
Northland,16,F,447,24,18,3,9,456,957,102,"1,056"
Northland,16,Total,915,42,48,6,18,942,"1,971",198,"2,169"
Northland,17,M,429,21,24,6,12,474,960,114,"1,074"
Northland,17,F,411,33,27,3,9,465,945,87,"1,035"
Northland,17,Total,837,51,48,12,21,939,"1,905",201,"2,106"
Northland,18,M,366,24,24,3,9,354,777,93,870
Northland,18,F,327,15,9,3,3,303,657,75,732
Northland,18,Total,693,39,33,3,12,660,"1,437",165,"1,605"
Northland,19,M,318,12,33,3,6,366,735,90,828
Northland,19,F,300,21,9,3,3,282,621,87,708
Northland,19,Total,615,33,42,3,12,651,"1,356",177,"1,536"
Northland,20,M,297,12,24,3,6,273,612,84,699
Northland,20,F,315,18,18,3,3,276,636,93,729
Northland,20,Total,612,33,39,3,12,552,"1,245",180,"1,428"
Northland,21,M,276,12,18,3,6,303,621,87,708
Northland,21,F,312,12,9,3,6,303,645,84,729
Northland,21,Total,588,30,27,3,12,609,"1,266",171,"1,437"
