ethnicity,agecut,ethnicpoperp
European,20,210360
Maori,20,58880
Pacific,20,30800
Asian,20,55630
Other,20,5080
European,25,178530
Maori,25,44670
Pacific,25,23710
Asian,25,57560
Other,25,5620
European,30,177810
Maori,30,39770
Pacific,30,21370
Asian,30,54130
Other,30,5810
European,35,197620
Maori,35,40260
Pacific,35,20150
Asian,35,40240
Other,35,4580
European,40,235640
Maori,40,42900
Pacific,40,19940
Asian,40,39050
Other,40,3890
European,45,235030
Maori,45,39520
Pacific,45,18520
Asian,45,35990
Other,45,3240
European,50,243590
Maori,50,37750
Pacific,50,15290
Asian,50,31800
Other,50,2500
European,55,215480
Maori,55,28570
Pacific,55,11650
Asian,55,26270
Other,55,1860
European,60,198260
Maori,60,21620
Pacific,60,9340
Asian,60,19230
Other,60,1150
European,65,176220
Maori,65,15030
Pacific,65,6620
Asian,65,12730
Other,65,740
European,70,133630
Maori,70,10210
Pacific,70,4470
Asian,70,8740
Other,70,460
European,75,96410
Maori,75,6140
Pacific,75,2750
Asian,75,5880
Other,75,280
European,80,75240
Maori,80,3360
Pacific,80,1550
Asian,80,2980
Other,80,180
European,85,47100
Maori,85,1280
Pacific,85,700
Asian,85,1160
Other,85,100
European,85+,71070
Maori,85+,1720
Pacific,85+,930
Asian,85+,1640
Other,85+,140
European,90+,23970
Maori,90+,440
Pacific,90+,230
Asian,90+,480
Other,90+,40
