agecut5_90,sex,year,pop
20,M,2005,145080
20,M,2006,145850
20,M,2007,144650
20,M,2008,144390
20,M,2009,146620
20,M,2010,150440
20,M,2011,154490
20,M,2012,156360
20,M,2013,159180
20,M,2014,166320
20,F,2005,143300
20,F,2006,145330
20,F,2007,144540
20,F,2008,144350
20,F,2009,145730
20,F,2010,149320
20,F,2011,152740
20,F,2012,154300
20,F,2013,155740
20,F,2014,159330
25,M,2005,124740
25,M,2006,126770
25,M,2007,128980
25,M,2008,131140
25,M,2009,133210
25,M,2010,134490
25,M,2011,134090
25,M,2012,133950
25,M,2013,135330
25,M,2014,143380
25,F,2005,131130
25,F,2006,133600
25,F,2007,135470
25,F,2008,137430
25,F,2009,139000
25,F,2010,140550
25,F,2011,140800
25,F,2012,140570
25,F,2013,142160
25,F,2014,147870
30,M,2005,139790
30,M,2006,136320
30,M,2007,132850
30,M,2008,129840
30,M,2009,128470
30,M,2010,127860
30,M,2011,128120
30,M,2012,128030
30,M,2013,129510
30,M,2014,133470
30,F,2005,153720
30,F,2006,149700
30,F,2007,145660
30,F,2008,142060
30,F,2009,140450
30,F,2010,139890
30,F,2011,140000
30,F,2012,140280
30,F,2013,141580
30,F,2014,144170
35,M,2005,147590
35,M,2006,149140
35,M,2007,150200
35,M,2008,149370
35,M,2009,147380
35,M,2010,144520
35,M,2011,139650
35,M,2012,134990
35,M,2013,131500
35,M,2014,129980
35,F,2005,160650
35,F,2006,163430
35,F,2007,165110
35,F,2008,164810
35,F,2009,163110
35,F,2010,160420
35,F,2011,154710
35,F,2012,149150
35,F,2013,144860
35,F,2014,143040
40,M,2005,156800
40,M,2006,155940
40,M,2007,153850
40,M,2008,151770
40,M,2009,150640
40,M,2010,150360
40,M,2011,150700
40,M,2012,150950
40,M,2013,150170
40,M,2014,148830
40,F,2005,167060
40,F,2006,166540
40,F,2007,165100
40,F,2008,163300
40,F,2009,163090
40,F,2010,163980
40,F,2011,165930
40,F,2012,166740
40,F,2013,166410
40,F,2014,164810
45,M,2005,145320
45,M,2006,149120
45,M,2007,152530
45,M,2008,155460
45,M,2009,156820
45,M,2010,156600
45,M,2011,154850
45,M,2012,151930
45,M,2013,150100
45,M,2014,149510
45,F,2005,150870
45,F,2006,156040
45,F,2007,160720
45,F,2008,164900
45,F,2009,166830
45,F,2010,167320
45,F,2011,165720
45,F,2012,163590
45,F,2013,161890
45,F,2014,161780
50,M,2005,126770
50,M,2006,129930
50,M,2007,132970
50,M,2008,135790
50,M,2009,139360
50,M,2010,142810
50,M,2011,145790
50,M,2012,148750
50,M,2013,151680
50,M,2014,153370
50,F,2005,130080
50,F,2006,133720
50,F,2007,137370
50,F,2008,141130
50,F,2009,145240
50,F,2010,149500
50,F,2011,153890
50,F,2012,158090
50,F,2013,161990
50,F,2014,164040
55,M,2005,116700
55,M,2006,120080
55,M,2007,120230
55,M,2008,120640
55,M,2009,122030
55,M,2010,123940
55,M,2011,126520
55,M,2012,129380
55,M,2013,132170
55,M,2014,135850
55,F,2005,119090
55,F,2006,122930
55,F,2007,123180
55,F,2008,123900
55,F,2009,126280
55,F,2010,128780
55,F,2011,132270
55,F,2012,136040
55,F,2013,139590
55,F,2014,143680
60,M,2005,89970
60,M,2006,91900
60,M,2007,97250
60,M,2008,104250
60,M,2009,109120
60,M,2010,113630
60,M,2011,117170
60,M,2012,117370
60,M,2013,117900
60,M,2014,119500
60,F,2005,92510
60,F,2006,94760
60,F,2007,100300
60,F,2008,107630
60,F,2009,112710
60,F,2010,117520
60,F,2011,121240
60,F,2012,121900
60,F,2013,123110
60,F,2014,125730
65,M,2005,71230
65,M,2006,75620
65,M,2007,79310
65,M,2008,80610
65,M,2009,83710
65,M,2010,85880
65,M,2011,88050
65,M,2012,93450
65,M,2013,100570
65,M,2014,105690
65,F,2005,75510
65,F,2006,79910
65,F,2007,83620
65,F,2008,84980
65,F,2009,87610
65,F,2010,90080
65,F,2011,92280
65,F,2012,97740
65,F,2013,105190
65,F,2014,110590
70,M,2005,57300
70,M,2006,57380
70,M,2007,58230
70,M,2008,59950
70,M,2009,61680
70,M,2010,64810
70,M,2011,68790
70,M,2012,72480
70,M,2013,74040
70,M,2014,77250
70,F,2005,62530
70,F,2006,62790
70,F,2007,63850
70,F,2008,65270
70,F,2009,67440
70,F,2010,70740
70,F,2011,74730
70,F,2012,78530
70,F,2013,80000
70,F,2014,82900
75,M,2005,46440
75,M,2006,47570
75,M,2007,48010
75,M,2008,47910
75,M,2009,47930
75,M,2010,48400
75,M,2011,48530
75,M,2012,49340
75,M,2013,51010
75,M,2014,52980
75,F,2005,55500
75,F,2006,56030
75,F,2007,56050
75,F,2008,56030
75,F,2009,55920
75,F,2010,55620
75,F,2011,55800
75,F,2012,56910
75,F,2013,58330
75,F,2014,60560
80,M,2005,28810
80,M,2006,30180
80,M,2007,31310
80,M,2008,32460
80,M,2009,33530
80,M,2010,34240
80,M,2011,35350
80,M,2012,35970
80,M,2013,36100
80,M,2014,36510
80,F,2005,43590
80,F,2006,44000
80,F,2007,44150
80,F,2008,44640
80,F,2009,44890
80,F,2010,45190
80,F,2011,45730
80,F,2012,45760
80,F,2013,46030
80,F,2014,46250
85,M,2005,12340
85,M,2006,13160
85,M,2007,14060
85,M,2008,15080
85,M,2009,16150
85,M,2010,17040
85,M,2011,17850
85,M,2012,18680
85,M,2013,19340
85,M,2014,20400
85,F,2005,24870
85,F,2006,25920
85,F,2007,27100
85,F,2008,27940
85,F,2009,28990
85,F,2010,29640
85,F,2011,29960
85,F,2012,30080
85,F,2013,30440
85,F,2014,31070
90+,M,2005,4730
90+,M,2006,5020
90+,M,2007,5290
90+,M,2008,5460
90+,M,2009,5640
90+,M,2010,6100
90+,M,2011,6550
90+,M,2012,7010
90+,M,2013,7500
90+,M,2014,8070
90+,F,2005,13540
90+,F,2006,14040
90+,F,2007,14320
90+,F,2008,14710
90+,F,2009,14850
90+,F,2010,15750
90+,F,2011,16430
90+,F,2012,17040
90+,F,2013,17440
90+,F,2014,18150
