agecut,sex,nz_standard_pop
0,M,0.036052849
5,M,0.034571564
10,M,0.034258649
15,M,0.036052849
20,M,0.035834483
25,M,0.030465389
30,M,0.029155195
35,M,0.029603182
40,M,0.033806159
45,M,0.0337904
50,M,0.034146089
55,M,0.029754012
60,M,0.02654156
65,M,0.022640244
70,M,0.01666783
75,M,0.011483333
80,M,0.008126805
85,M,0.004353806
90,M,0.0014133779
95,M,0.0002502118
85+,M,0.006033196
90+,M,0.001688394
100+,M,2.48085381172784E-005
0,F,0.03416635
5,F,0.03297772
10,F,0.032547742
15,F,0.034292416
20,F,0.035060073
25,F,0.032002954
30,F,0.031872384
35,F,0.032610776
40,F,0.037462096
45,F,0.036444557
50,F,0.036467068
55,F,0.031424397
60,F,0.027714432
65,F,0.023680295
70,F,0.018009541
75,F,0.013131206
80,F,0.010362239
85,F,0.00685263
90,F,0.0030699622
95,F,0.0007523744
85+,F,0.010783212
90+,F,0.00392608
100+,F,0.0001037521
